,words,count
2215,sulfate,8
290,whitefish,8
858,lime,8
335,shoshone,8
336,bannock,8
2227,silken,8
170,squares,8
1933,cubed,8
1932,campbell,8
1004,limas,8
1412,grated,8
1617,90,8
671,toaster,8
1662,digiorno,8
1652,supreme,8
1647,dairy,8
561,mango,8
1,golden,8
1341,seasoned,8
1526,edible,8
1441,big,8
632,spleen,8
1523,sundae,8
1273,friday,8
1487,bear,8
1279,rings,8
1281,fillet,8
631,lungs,8
1292,pecan,8
629,kidneys,8
1302,saccharin,8
1448,brand,8
672,frosted,8
1306,luncheon,8
1387,celery,8
667,nabisco,8
1372,broadbeans,7
896,100,7
2289,leavening,7
987,radishes,7
711,buckwheat,7
373,assorted,7
1148,gelatin,7
2290,agents,7
369,refried,7
480,valley,7
1334,purple,7
1271,tenders,7
638,patties,7
2133,side,7
2109,eastern,7
902,mechanically,7
2317,oscar,7
226,canadian,7
1905,spice,7
2528,chickpeas,7
470,extract,7
2318,mayer,7
584,real,7
409,whipped,7
765,homemade,7
2264,stuffing,7
2263,sourdough,7
2530,bengal,7
1014,navy,7
696,puffs,7
116,uncoated,7
1287,marinara,7
997,straightneck,7
2247,soaked,7
996,crookneck,7
1150,rennin,7
1283,meatballs,7
93,tortillas,7
2529,garbanzo,7
380,kid,7
73,guava,7
74,pastries,7
518,raspberries,7
1089,unspecified,7
1992,seam,7
1974,fiber,7
2000,20,7
734,wafer,7
286,subcutaneous,7
2342,figs,7
1186,degermed,7
1539,california,7
323,eggs,7
2037,coca,7
928,artichokes,7
966,lentils,7
1636,rolled,7
803,nuggets,7
2043,cran,7
1085,cashew,7
2044,higher,7
51,dish,7
1929,england,7
911,pre,7
500,scallop,7
1230,thighs,7
1991,external,7
1663,stuffed,7
967,stir,7
784,acorn,7
1187,self,7
957,kale,6
963,bulb,6
2361,marathon,6
1001,butternut,6
2417,malted,6
974,yam,6
2359,97,6
1381,harvest,6
2504,pollock,6
2334,time,6
1330,super,6
2271,dietary,6
2307,drumsticks,6
2523,rainbow,6
2333,cook,6
1437,crisp,6
2331,ralston,6
1346,yardlong,6
1825,pate,6
1040,granules,6
1308,vegetarian,6
1680,au,6
1559,podded,6
1239,beluga,6
1612,cacao,6
1223,vermicelli,6
2038,company,6
2020,incomplete,6
1998,95,6
1209,semolina,6
1418,pistachio,6
1949,bratwurst,6
1207,51,6
1192,parboiled,6
2267,coffeecake,6
1697,safflower,6
1904,poppy,6
1885,goat,6
1183,kellogg,6
1713,cone,6
1738,southern,6
1176,bite,6
1169,yolk,6
1158,mills,6
1135,reese,6
1820,pigeon,6
2052,rum,6
2053,vodka,6
1542,florida,6
2060,zero,6
2265,cornbread,6
1449,cocoavia,6
1286,ravioli,6
1022,brussels,6
1023,sprouts,6
2246,chump,6
1032,collards,6
1033,hyacinth,6
2200,capons,6
2180,uses,6
2179,principal,6
1046,dill,6
2147,medallion,6
2143,pockets,6
1056,sun,6
2129,caesars,6
1268,masa,6
1260,hopi,6
2104,may,6
1258,steller,6
1257,lion,6
1076,desiccated,6
2081,bass,6
0,pillsbury,6
1362,okra,6
935,tips,6
934,leafy,6
384,general,6
593,seedless,6
724,bits,6
600,spareribs,6
567,pulp,6
428,cultured,6
650,teriyaki,6
688,garlic,6
877,undiluted,6
546,diluted,6
702,oriental,6
886,plantains,6
153,trail,6
514,prunes,6
826,mini,6
252,bearded,6
253,oogruk,6
815,deli,6
814,prepackaged,6
810,grill,6
801,catfish,6
572,chilled,6
66,pound,6
360,pupusas,6
776,chum,6
348,corned,6
775,hominy,6
331,range,6
297,melon,6
316,coho,6
582,potassium,6
476,puffed,6
315,halibut,6
932,bitter,6
192,blends,6
210,farm,6
929,globe,6
931,balsam,6
2226,nu,5
193,pancake,5
1752,oils,5
1592,walnuts,5
821,yogurts,5
1866,basil,5
1087,lightly,5
921,16,5
1219,sorghum,5
1363,par,5
2051,gin,5
809,carrabba,5
203,multi,5
1851,stock,5
1604,slim,5
1850,minestrone,5
242,moose,5
2045,alcohol,5
2521,channel,5
837,pop,5
2525,adzuki,5
2225,mori,5
843,tabletop,5
209,pepperidge,5
1062,fava,5
12,icing,5
2531,crowder,5
417,roquefort,5
637,11,5
798,platter,5
794,tripe,5
1105,30,5
2347,grapes,5
759,pike,5
1524,quail,5
1166,molasses,5
1527,pheasant,5
311,lard,5
941,rinsed,5
308,mutton,5
1964,farina,5
303,indian,5
330,buffalo,5
2001,75,5
2002,salsa,5
1550,chicory,5
927,amaranth,5
1832,hens,5
492,fillings,5
2014,brownies,5
351,border,5
280,walrus,5
779,quarter,5
2030,b6,5
1911,vinegar,5
1200,germ,5
1350,ginger,5
2031,b12,5
2338,nature,5
1891,dannon,5
1725,50,5
1975,medleys,5
1049,pickle,5
1006,vacuum,5
685,arroz,5
1625,tartar,5
444,jams,5
445,preserves,5
893,sucralose,5
529,strawberries,5
1630,chick,5
864,seeded,5
1807,balance,5
2107,retain,5
1794,linoleic,5
556,puree,5
1419,strip,5
1417,pecans,5
211,goldfish,5
2242,rabbit,5
2223,smooth,5
490,cholesterol,5
1393,freeze,5
2106,additives,5
1034,lambsquarters,5
2105,contain,5
690,saltines,5
431,milky,5
165,caramels,5
1002,hubbard,5
508,peel,5
977,shiitake,5
176,rich,5
163,chews,5
648,always,5
971,lotus,5
505,turtle,5
127,popped,5
432,way,5
1798,oleic,5
1290,grains,4
740,hazelnut,4
145,confectioner,4
2250,netted,4
1201,crude,4
1357,portabella,4
64,quesadilla,4
2249,saddle,4
2122,lobster,4
151,nacho,4
2245,intermuscular,4
218,udi,4
2010,dip,4
2365,kashi,4
689,buns,4
2384,plan,4
1167,starburst,4
2383,slimfast,4
1170,sugars,4
1303,any,4
1175,skittles,4
2224,mineral,4
1497,lingcod,4
1504,hazelnuts,4
2358,striploin,4
2356,cube,4
2355,bolar,4
1396,packed,4
2354,sweetbread,4
1189,bolted,4
2357,shin,4
2321,polish,4
1208,remaining,4
1241,blackberries,4
189,twists,4
1465,precooked,4
1232,turnover,4
2259,trotter,4
238,packaged,4
2260,denuded,4
92,iced,4
2262,vienna,4
2069,fusion,4
2082,striped,4
2282,leavened,4
2332,life,4
95,shelf,4
1332,passion,4
628,feet,4
714,carob,4
2278,matzo,4
2276,pies,4
1250,agave,4
2093,drum,4
96,stable,4
2268,crumb,4
2296,pita,4
2108,surimi,4
660,weight,4
2299,melba,4
2253,flap,4
1282,browns,4
701,shell,4
1349,eggplant,4
2218,nigari,4
1376,butterbur,4
256,animal,4
2319,minced,4
2311,fashioned,4
1411,expressed,4
673,include,4
178,flan,4
2188,confection,4
2310,old,4
1278,battered,4
2254,tunnel,4
1340,styles,4
2255,boned,4
1275,oz,4
216,bakery,4
87,puff,4
206,glutino,4
321,bones,4
1856,ramen,4
1764,nutritional,4
2546,kielbasa,4
1833,cornish,4
1050,relish,4
2538,partly,4
1835,duckling,4
2536,creamer,4
1837,pekin,4
1765,supplement,4
1057,chile,4
5,artificial,4
844,fructose,4
2527,roman,4
1681,gratin,4
1605,98,4
1603,klondike,4
1602,pops,4
390,mein,4
908,backribs,4
2675,hindshank,4
1595,thymus,4
2676,heel,4
1759,evaporated,4
1086,macadamia,4
1088,tahini,4
1768,stabilized,4
1044,ultraviolet,4
1769,glucose,4
1043,exposed,4
993,flower,4
475,millet,4
540,pitted,4
1009,chrysanthemum,4
543,applesauce,4
1011,bamboo,4
873,mandarin,4
872,tangerines,4
1639,club,4
1808,omega,4
1809,bottle,4
2636,navel,4
2637,centre,4
2588,crayfish,4
524,rhubarb,4
1027,pak,4
435,cold,4
434,flaxseed,4
1821,gizzard,4
1037,tree,4
1621,nachos,4
1829,deboned,4
563,pomegranate,4
1867,sriracha,4
1793,household,4
1098,shortribs,4
481,abbott,4
1730,ultimate,4
1731,whopper,4
1562,scalloped,4
578,bolthouse,4
962,leeks,4
575,naked,4
328,kippered,4
1556,tops,4
1530,squab,4
347,apache,4
1552,coriander,4
1691,carrot,4
1744,part,4
2439,john,4
2438,papa,4
2437,croissant,4
2407,blanc,4
1966,boiling,4
1756,ounce,4
1579,glandless,4
914,spiral,4
2695,martha,4
924,96,4
965,portion,4
793,pigeonpeas,4
1525,total,4
579,farms,4
1577,breadfruit,4
2503,perch,4
34,waffle,4
1365,purslane,3
1701,flaked,3
1364,flowers,3
1792,island,3
1722,tony,3
2130,griddle,3
2131,mcgriddles,3
1661,parfait,3
1791,thousand,3
1728,mac,3
1702,filberts,3
498,except,3
2171,duty,3
1366,salsify,3
205,crisps,3
663,brands,3
1675,parsley,3
2132,mcmuffin,3
1385,cardoon,3
1388,chard,3
1384,tsai,3
1797,over,3
1678,poke,3
1383,pe,3
1677,pokeberry,3
2134,croissan,3
2135,wich,3
2140,franks,3
1371,tahitian,3
1389,chayote,3
479,health,3
1375,burdock,3
1390,yambean,3
1684,brien,3
1391,jicama,3
1386,celeriac,3
1392,dock,3
1753,lauric,3
511,prickly,3
1978,avocados,3
219,delicious,3
1649,premium,3
532,papaya,3
273,squirrel,3
277,herb,3
2033,limeade,3
1892,oikos,3
362,frijoles,3
1570,preserving,3
1569,waxgourd,3
1925,hen,3
1563,form,3
285,bowhead,3
1493,cranberries,3
1558,parsnips,3
346,smelt,3
2005,bull,3
1934,cubes,3
1935,bisque,3
1941,chunk,3
1943,beerwurst,3
1501,blanched,3
588,jellied,3
1545,persimmons,3
1960,kretschmer,3
2187,use,3
1511,house,3
1968,wheatena,3
312,tamales,3
1528,scrambled,3
1513,enchilada,3
1983,currants,3
1478,wonton,3
1888,per,3
1475,box,3
429,links,3
2113,jack,3
1643,pounder,3
1810,poppyseed,3
1415,decorticated,3
467,spoon,3
659,heinz,3
460,hearts,3
1631,fil,3
1622,bun,3
1522,replacement,3
222,van,3
2097,haddock,3
2094,freshwater,3
1447,ables,3
1887,grams,3
627,ears,3
2078,greater,3
1608,creamsicle,3
2068,kiwi,3
1460,kudos,3
2059,powerade,3
1849,manhattan,3
1596,pastrami,3
592,tart,3
1587,ginkgo,3
248,roots,3
1584,paste,3
1873,microwavable,3
2182,woks,3
1324,melons,3
1021,spears,3
1235,agutuk,3
835,pumpernickel,3
879,dates,3
762,fermented,3
1010,arrowhead,3
1012,fordhook,3
1236,alaskan,3
1018,beet,3
882,traditional,3
1019,borage,3
2496,gatorade,3
1233,salisbury,3
867,rose,3
1231,reheated,3
2295,crumbs,3
2397,smoothies,3
1077,creamed,3
1026,savoy,3
1251,southwest,3
2512,shark,3
2639,sunchips,3
988,rutabagas,3
845,jellies,3
52,unbaked,3
2638,fritolay,3
1144,gum,3
1352,calabash,3
720,york,3
1145,custards,3
992,sesbania,3
2635,thompson,3
2609,fan,3
2515,sturgeon,3
1157,dove,3
1028,choi,3
1141,musketeers,3
1185,olestra,3
2346,sections,3
1193,uncle,3
2554,control,3
1190,quinoa,3
2385,unilever,3
746,sage,3
758,octopus,3
2388,isolate,3
1168,fruits,3
58,shells,3
1052,dog,3
2369,bagel,3
2537,azumaya,3
754,arrowroot,3
852,plum,3
1036,sauteed,3
2309,healthy,3
1031,garland,3
1220,fleshed,3
1217,unbleached,3
733,kat,3
2320,spam,3
1072,wasabi,3
2327,bumpers,3
2390,gerolsteiner,3
2345,areas,3
736,marshmallows,3
2335,stove,3
2565,shortbread,3
25,bakeries,3
1199,spring,3
2343,gooseberries,3
716,semisweet,3
2272,sponge,3
2535,mocha,3
2499,liqueur,3
961,kohlrabi,3
2455,colby,3
2458,sugared,3
158,twizzlers,3
2237,kabob,3
1300,caesar,3
948,cress,3
922,72,3
107,cones,3
806,chow,3
956,potherb,3
2507,sablefish,3
1318,curd,3
955,jute,3
2465,muscle,3
1123,colada,3
2719,royal,3
1327,olives,3
2206,virginia,3
2471,sardine,3
953,towelgourd,3
2205,valencia,3
2204,mungo,3
1331,colossal,3
2203,mothbeans,3
2202,lupins,3
952,dishcloth,3
920,84,3
2195,refined,3
1348,dandelion,3
980,tendergreen,3
109,leather,3
1351,flowered,3
898,carcass,3
46,dutch,3
713,butterscotch,3
2426,selects,3
2720,catjang,3
708,including,3
1272,kids,3
707,pretzel,3
1274,fingers,3
2661,pinot,3
703,air,3
2197,flax,3
975,hawaii,3
1347,peeled,3
2684,croissants,3
1285,pomodoro,3
903,separated,3
675,dulce,3
907,13,3
2442,hotcakes,3
820,twix,3
973,mountain,3
2498,performance,2
23,george,2
1901,nutmeg,2
24,weston,2
2502,pout,2
2501,ling,2
402,pectin,2
1899,weed,2
1857,swanson,2
2505,pompano,2
2520,whiting,2
1854,jus,2
