,words,fdc_id,weight
524,melon,167629,0.5
525,banana,167629,0.5
526,navajo,167629,0.5
527,chilchen,167630,0.5
528,red,167630,0.5
529,berry,167630,0.5
530,beverage,167630,0.5
531,navajo,167630,0.5
532,corn,167631,0.5
533,dried,167631,0.5
534,navajo,167631,0.5
535,squash,167632,0.5
536,indian,167632,0.5
537,boiled,167632,0.5
538,navajo,167632,0.5
539,bread,167633,0.5
540,kneel,167633,0.5
541,down,167633,0.5
542,navajo,167633,0.5
543,mutton,167634,0.5
544,roasted,167634,0.5
545,navajo,167634,0.5
546,frybread,167635,0.5
547,lard,167635,0.5
548,navajo,167635,0.5
549,tamales,167636,0.5
550,navajo,167636,0.5
551,stew,167637,0.5
552,steamed,167637,0.5
553,corn,167637,0.5
554,navajo,167637,0.5
555,fish,167638,0.5
556,halibut,167638,0.5
557,skin,167638,0.5
558,fish,167639,0.5
559,salmon,167639,0.5
560,coho,167639,0.5
561,silver,167639,0.5
562,blueberries,167640,0.5
563,wild,167640,0.5
564,oil,167641,0.5
565,spotted,167641,0.5
566,seal,167641,0.5
567,fish,167642,0.5
568,salmon,167642,0.5
569,red,167642,0.5
570,canned,167642,0.5
571,bones,167642,0.5
572,removed,167642,0.5
573,fish,167643,0.5
574,whitefish,167643,0.5
575,eggs,167643,0.5
576,caribou,167644,0.5
577,rump,167644,0.5
578,meat,167644,0.5
579,half,167644,0.5
580,dried,167644,0.5
581,fish,167645,0.5
582,salmon,167645,0.5
583,red,167645,0.5
584,sockeye,167645,0.5
585,canned,167645,0.5
586,smoked,167645,0.5
587,fish,167646,0.5
588,salmon,167646,0.5
589,red,167646,0.5
590,sockeye,167646,0.5
591,kippered,167646,0.5
592,fish,167647,0.5
593,salmon,167647,0.5
594,king,167647,0.5
595,skin,167647,0.5
596,kippered,167647,0.5
597,fish,167648,0.5
598,sheefish,167648,0.5
599,buffalo,167649,0.5
600,free,167649,0.5
601,range,167649,0.5
602,top,167649,0.5
603,round,167649,0.5
604,steak,167649,0.5
605,shoshone,167649,0.5
606,bannock,167649,0.5
607,seal,167650,0.5
608,bearded,167650,0.5
609,oogruk,167650,0.5
610,meat,167650,0.5
611,dried,167650,0.5
612,buffalo,167651,0.5
613,free,167651,0.5
614,range,167651,0.5
615,top,167651,0.5
616,round,167651,0.5
617,steak,167651,0.5
618,shoshone,167651,0.5
619,bannock,167651,0.5
620,elk,167652,0.5
621,free,167652,0.5
622,range,167652,0.5
623,roast,167652,0.5
624,eye,167652,0.5
625,round,167652,0.5
626,shoshone,167652,0.5
627,bannock,167652,0.5
628,corn,167653,0.5
629,dried,167653,0.5
630,yellow,167653,0.5
631,northern,167653,0.5
632,plains,167653,0.5
633,indians,167653,0.5
634,smelt,167654,0.5
635,dried,167654,0.5
636,frybread,167655,0.5
637,lard,167655,0.5
638,apache,167655,0.5
639,corned,167656,0.5
640,beef,167656,0.5
641,potatoes,167656,0.5
642,tortilla,167656,0.5
643,apache,167656,0.5
644,the,167657,0.5
645,border,167657,0.5
646,soft,167657,0.5
647,taco,167657,0.5
648,ground,167657,0.5
649,beef,167657,0.5
650,cheese,167657,0.5
651,lettuce,167657,0.5
652,restaurant,167658,0.5
653,mexican,167658,0.5
654,soft,167658,0.5
655,taco,167658,0.5
656,ground,167658,0.5
657,beef,167658,0.5
658,cheese,167658,0.5
659,lettuce,167658,0.5
660,restaurant,167659,0.5
661,latino,167659,0.5
662,chicken,167659,0.5
663,rice,167659,0.5
664,entree,167659,0.5
665,restaurant,167660,0.5
666,latino,167660,0.5
667,empanadas,167660,0.5
668,beef,167660,0.5
669,restaurant,167661,0.5
670,latino,167661,0.5
671,pupusas,167661,0.5
672,con,167661,0.5
673,frijoles,167661,0.5
674,pupusas,167661,0.5
675,bean,167661,0.5
676,restaurant,167662,0.5
677,latino,167662,0.5
678,pupusas,167662,0.5
679,con,167662,0.5
680,queso,167662,0.5
681,pupusas,167662,0.5
682,cheese,167662,0.5
683,restaurant,167663,0.5
684,latino,167663,0.5
685,pupusas,167663,0.5
686,del,167663,0.5
687,cerdo,167663,0.5
688,pupusas,167663,0.5
689,pork,167663,0.5
690,restaurant,167664,0.5
691,latino,167664,0.5
692,tamale,167664,0.5
693,corn,167664,0.5
694,restaurant,167665,0.5
695,mexican,167665,0.5
696,spanish,167665,0.5
697,rice,167665,0.5
698,restaurant,167666,0.5
699,mexican,167666,0.5
700,refried,167666,0.5
701,beans,167666,0.5
702,restaurant,167667,0.5
703,chinese,167667,0.5
704,egg,167667,0.5
705,rolls,167667,0.5
706,assorted,167667,0.5
707,restaurant,167668,0.5
708,chinese,167668,0.5
709,fried,167668,0.5
710,rice,167668,0.5
711,meat,167668,0.5
712,cracker,167669,0.5
713,barrel,167669,0.5
714,steak,167669,0.5
715,fries,167669,0.5
716,cracker,167670,0.5
717,barrel,167670,0.5
718,grilled,167670,0.5
719,sirloin,167670,0.5
720,steak,167670,0.5
721,cracker,167671,0.5
722,barrel,167671,0.5
723,macaroni,167671,0.5
724,cheese,167671,0.5
725,kid,167671,0.5
726,menu,167671,0.5
727,denny,167672,0.5
728,french,167672,0.5
729,fries,167672,0.5
730,denny,167673,0.5
731,top,167673,0.5
732,sirloin,167673,0.5
733,steak,167673,0.5
734,restaurant,167674,0.5
735,chinese,167674,0.5
736,lemon,167674,0.5
737,chicken,167674,0.5
738,restaurant,167675,0.5
739,chinese,167675,0.5
740,general,167675,0.5
741,tso,167675,0.5
742,chicken,167675,0.5
743,restaurant,167676,0.5
744,chinese,167676,0.5
745,kung,167676,0.5
746,pao,167676,0.5
747,chicken,167676,0.5
748,restaurant,167677,0.5
749,chinese,167677,0.5
750,vegetable,167677,0.5
751,lo,167677,0.5
752,mein,167677,0.5
753,meat,167677,0.5
754,restaurant,167678,0.5
755,chinese,167678,0.5
756,chicken,167678,0.5
757,restaurant,167679,0.5
758,chinese,167679,0.5
759,orange,167679,0.5
760,chicken,167679,0.5
761,restaurant,167680,0.5
762,italian,167680,0.5
763,spaghetti,167680,0.5
764,meat,167680,0.5
765,sauce,167680,0.5
766,fruit,167681,0.5
767,dry,167681,0.5
768,powdered,167681,0.5
769,mix,167681,0.5
770,low,167681,0.5
771,calorie,167681,0.5
772,aspartame,167681,0.5
773,pectin,167682,0.5
774,liquid,167682,0.5
775,novelties,167683,0.5
